beer_name, brewery, style, score
Kentucky Brunch Brand Stout,Toppling Goliath Brewing Company,American Imperial Stout,4.84
Marshmallow Handjee,3 Floyds Brewing Co.,Russian Imperial Stout,4.74
Barrel-Aged Abraxas,Perennial Artisan Ales,American Imperial Stout,4.74
Heady Topper,The Alchemist Brewery and Visitors Center,American Imperial IPA,4.71
Hunahpu's Imperial Stout - Double Barrel Aged,Cigar City Brewing,American Imperial Stout,4.73
King Julius,Tree House Brewing Company,New England IPA,4.74
Pliny The Younger,Russian River Brewing Company,American Imperial IPA,4.7
Fundamental Observation,Bottle Logic Brewing,American Imperial Stout,4.71
Very Hazy,Tree House Brewing Company,New England IPA,4.72
Mornin' Delight,Toppling Goliath Brewing Company,American Imperial Stout,4.7
Bourbon County Brand Coffee Stout,Goose Island Beer Co.,American Imperial Stout,4.67
CBS (Canadian Breakfast Stout),Founders Brewing Company,American Imperial Stout,4.66
Julius,Tree House Brewing Company,New England IPA,4.66
SR-71,Toppling Goliath Brewing Company,American Imperial Stout,4.72
Very Green,Tree House Brewing Company,American Imperial IPA,4.68
Pliny The Elder,Russian River Brewing Company,American Imperial IPA,4.65
King JJJuliusss,Tree House Brewing Company,New England IPA,4.73
Double Sunshine IPA,Lawson's Finest Liquids,American Imperial IPA,4.66
Cantillon Fou' Foune,Brasserie Cantillon,Belgian Fruit Lambic,4.65
Juice Machine,Tree House Brewing Company,American Imperial IPA,4.68
Dinner,Maine Beer Company,American Imperial IPA,4.64
Assassin,Toppling Goliath Brewing Company,American Imperial Stout,4.65
Speedway Stout - Vietnamese Coffee - Bourbon-Barrel Aged,AleSmith Brewing Company,American Imperial Stout,4.66
Morning Wood,Funky Buddha Brewery,American Porter,4.65
Abner,Hill Farmstead Brewery,American Imperial IPA,4.63
Doubleganger,Tree House Brewing Company,American Imperial IPA,4.66
King Sue,Toppling Goliath Brewing Company,New England IPA,4.62
Parabola,Firestone Walker Brewing Co.,Russian Imperial Stout,4.61
Triple Sunshine IPA,Lawson's Finest Liquids,American Imperial IPA,4.65
Duck Duck Gooze,The Lost Abbey,Belgian Gueuze,4.62
Cantillon Lou Pepe - Kriek,Brasserie Cantillon,Belgian Fruit Lambic,4.62
Drie Fonteinen Zenne Y Frontera,Brouwerij 3 Fonteinen,Belgian Lambic,4.73
KBS (Kentucky Breakfast Stout),Founders Brewing Company,American Imperial Stout,4.6
Bourbon County Brand Stout,Goose Island Beer Co.,American Imperial Stout,4.6
